Character,Degree,Degree_Centrality,Weighted_Degree,House
robb,31,0.2540983606557377,375,stark
tywin,28,0.22950819672131148,364,lannister
tyrion,25,0.20491803278688525,653,lannister
catelyn,22,0.18032786885245902,230,stark
joffrey,21,0.1721311475409836,279,lannister
cersei,20,0.1639344262295082,354,lannister
jon,19,0.1557377049180328,323,stark
sansa,19,0.1557377049180328,363,stark
roose_bolton,17,0.13934426229508198,150,bolton
sam,17,0.13934426229508198,226,other
bran,17,0.13934426229508198,292,stark
arya,16,0.13114754098360656,288,stark
ned,16,0.13114754098360656,48,stark
jaime,16,0.13114754098360656,321,lannister
loras,15,0.12295081967213116,130,tyrell
olenna,15,0.12295081967213116,217,tyrell
edmure,15,0.12295081967213116,140,other
walder,15,0.12295081967213116,126,other
hound,14,0.11475409836065574,165,other
stannis,14,0.11475409836065574,195,baratheon
varys,14,0.11475409836065574,166,other
jojen,14,0.11475409836065574,186,other
bronn,14,0.11475409836065574,125,other
rickon,13,0.10655737704918034,90,stark
pycelle,13,0.10655737704918034,50,lannister
ygritte,13,0.10655737704918034,254,other
daenerys,12,0.09836065573770492,294,targaryen
talisa,12,0.09836065573770492,184,stark
meera,12,0.09836065573770492,141,other
margaery,12,0.09836065573770492,225,tyrell
tormund,12,0.09836065573770492,130,other
robert,12,0.09836065573770492,39,baratheon
hodor,12,0.09836065573770492,121,other
theon,11,0.09016393442622951,191,greyjoy
gendry,11,0.09016393442622951,207,baratheon
orell,11,0.09016393442622951,132,other
rickard_karstark,11,0.09016393442622951,70,other
brynden,11,0.09016393442622951,99,other
missandei,10,0.0819672131147541,164,targaryen
osha,10,0.0819672131147541,172,other
high_septon,10,0.0819672131147541,22,other
meryn_trant,10,0.0819672131147541,51,other
farmer,10,0.0819672131147541,38,other
jorah,10,0.0819672131147541,188,other
davos,10,0.0819672131147541,236,other
shae,10,0.0819672131147541,169,other
thoros,10,0.0819672131147541,175,other
roslin,10,0.0819672131147541,44,other
littlefinger,10,0.0819672131147541,115,other
renly,9,0.07377049180327869,26,baratheon
barristan,9,0.07377049180327869,124,other
gilly,9,0.07377049180327869,137,other
melisandre,9,0.07377049180327869,162,other
podrick,8,0.06557377049180328,71,other
lothar,8,0.06557377049180328,28,other
beric,8,0.06557377049180328,116,other
anguy,7,0.05737704918032787,93,other
rast,7,0.05737704918032787,72,other
craster,7,0.05737704918032787,50,other
qyburn,7,0.05737704918032787,68,lannister
ramsay,7,0.05737704918032787,134,other
jeor,7,0.05737704918032787,69,other
joyeuse,7,0.05737704918032787,24,other
daario,7,0.05737704918032787,96,other
ilyn_payne,6,0.04918032786885246,12,other
karl_tanner,6,0.04918032786885246,29,other
mero,6,0.04918032786885246,60,other
eddison_tollett,6,0.04918032786885246,41,tollett
black_walder,6,0.04918032786885246,26,other
grey_worm,6,0.04918032786885246,39,other
grenn,6,0.04918032786885246,50,other
prendahl,5,0.04098360655737705,33,other
locke,5,0.04098360655737705,90,bolton
mance,5,0.04098360655737705,74,other
balon,5,0.04098360655737705,31,greyjoy
mountain,5,0.04098360655737705,12,other
aerys,5,0.04098360655737705,12,targaryen
shireen,5,0.04098360655737705,60,baratheon
brienne,5,0.04098360655737705,160,other
kraznys_mo_nakloz,5,0.04098360655737705,84,other
taryn_mant,4,0.03278688524590164,18,other
hot_pie,4,0.03278688524590164,32,other
lord_of_bones,4,0.03278688524590164,15,other
greizhen,4,0.03278688524590164,11,other
ros,4,0.03278688524590164,43,other
hoster,4,0.03278688524590164,17,other
desmond,3,0.02459016393442623,6,other
frey_septon,3,0.02459016393442623,8,other
myranda,3,0.02459016393442623,36,bolton
selyse,3,0.02459016393442623,25,baratheon
mace,3,0.02459016393442623,12,tyrell
martyn,3,0.02459016393442623,19,lannister
violet,3,0.02459016393442623,36,bolton
radzai_mo_eraz,3,0.02459016393442623,24,other
selwyn,3,0.02459016393442623,8,other
yara,3,0.02459016393442623,22,greyjoy
salladhor,2,0.01639344262295082,30,other
olyvar,2,0.01639344262295082,14,other
willem_lannister,2,0.01639344262295082,8,lannister
rylene,2,0.01639344262295082,4,other
little_sam,2,0.01639344262295082,18,other
qhorin_halfhand,2,0.01639344262295082,4,other
brandon_stark,2,0.01639344262295082,6,stark
maester_aemon,2,0.01639344262295082,20,targaryen
pyp,2,0.01639344262295082,10,other
randyll,2,0.01639344262295082,8,other
lysa,2,0.01639344262295082,4,other
sorcerer,2,0.01639344262295082,7,other
aegon,2,0.01639344262295082,4,targaryen
dareon,2,0.01639344262295082,4,other
merry,1,0.00819672131147541,3,other
joanna,1,0.00819672131147541,3,lannister
torturer,1,0.00819672131147541,19,bolton
balerion,1,0.00819672131147541,2,targaryen
marei,1,0.00819672131147541,4,other
bert,1,0.00819672131147541,2,baratheon
boros,1,0.00819672131147541,2,other
mycah,1,0.00819672131147541,2,other
maester_luwin,1,0.00819672131147541,2,stark
drogo,1,0.00819672131147541,2,other
hobb,1,0.00819672131147541,2,other
matthos,1,0.00819672131147541,2,other
eldrick,1,0.00819672131147541,2,other
